x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,D,U
218.54,3.28,13.0,0.82,0.01,0.04,2.67,0.64,1.03,0.03,15.0,3677.39,30.0,46.0,3.0,0.0,423.0,9.0,0.6,1.0,885.0,0.10572558075093522
477.82,5.05,2.0,0.89,0.06,0.02,1.68,0.85,0.84,0.27,44.0,4533.31,45.0,19.0,0.0,2.0,608.0,11.0,0.34,0.0,941.0,0.2016958776785573
379.4,9.62,2.0,0.71,0.07,0.04,1.66,0.7,1.03,0.9,12.0,2983.06,90.0,58.0,2.0,2.0,683.0,1.0,0.33,0.0,746.0,0.22726969904654393
319.4,4.59,15.0,0.72,0.02,0.02,4.49,0.92,1.18,0.13,2.0,7687.09,90.0,15.0,3.0,2.0,890.0,3.0,0.87,1.0,275.0,0.12852459016393442
120.21,8.56,23.0,0.84,0.04,0.05,2.26,0.76,0.94,0.33,9.0,4154.52,45.0,11.0,3.0,0.0,895.0,1.0,0.54,0.0,171.0,0.24736196319018403
120.2,2.7,29.0,0.86,0.09,0.04,2.03,0.78,1.06,0.32,35.0,8881.56,45.0,49.0,2.0,0.0,869.0,6.0,0.27,0.0,54.0,0.25828382838283825
76.14,7.05,17.0,0.97,0.02,0.05,0.2,0.86,1.18,0.8,1.0,9639.53,15.0,13.0,2.0,0.0,10.0,1.0,0.54,0.0,840.0,0.009430555555555555
439.78,9.79,7.0,0.73,0.07,0.03,1.82,0.9,1.12,0.42,46.0,8612.09,45.0,44.0,3.0,1.0,377.0,2.0,0.27,0.0,790.0,0.11488701858335575
320.5,1.92,28.0,0.95,0.07,0.02,4.25,0.69,1.08,0.61,31.0,5273.99,45.0,50.0,1.0,3.0,932.0,9.0,0.19,0.0,34.0,0.16828571428571426
368.63,1.07,14.0,0.76,0.04,0.04,3.8,0.99,1.19,0.4,28.0,5147.1,30.0,50.0,2.0,1.0,640.0,11.0,0.28,1.0,904.0,0.10761061946902656
59.26,4.9,12.0,0.82,0.09,0.04,1.1,0.85,0.87,0.55,45.0,2237.14,90.0,44.0,1.0,1.0,385.0,1.0,0.63,1.0,309.0,0.3553333333333333
486.46,1.83,17.0,0.79,0.07,0.05,2.07,0.6,1.11,0.06,37.0,5963.55,15.0,37.0,3.0,2.0,775.0,4.0,0.52,1.0,234.0,0.23931596091205215
424.6,7.74,14.0,0.82,0.05,0.02,0.98,0.77,0.96,0.37,7.0,9531.98,60.0,10.0,0.0,2.0,200.0,6.0,0.16,0.0,83.0,0.3934343434343434
145.55,9.23,6.0,0.75,0.06,0.04,4.77,0.77,0.94,0.86,46.0,898.0,15.0,19.0,1.0,3.0,299.0,2.0,0.91,1.0,125.0,0.12218370883882149
131.82,4.91,19.0,0.85,0.07,0.01,2.99,0.92,1.01,0.69,16.0,7549.33,90.0,50.0,1.0,3.0,872.0,1.0,0.5,0.0,161.0,0.1981203007518797
132.53,3.33,24.0,0.94,0.06,0.03,3.77,0.72,0.81,0.98,14.0,8708.44,60.0,21.0,1.0,0.0,809.0,4.0,0.79,0.0,590.0,0.18524109014675053
186.91,4.91,6.0,0.83,0.09,0.01,3.57,0.73,0.93,0.79,33.0,9868.36,45.0,46.0,1.0,2.0,637.0,3.0,0.33,0.0,723.0,0.14561443172291477
286.14,7.51,27.0,0.85,0.04,0.02,4.37,0.63,0.87,0.45,6.0,3414.1,30.0,19.0,1.0,1.0,208.0,7.0,0.96,0.0,824.0,0.038357650376959374
244.38,1.08,18.0,0.95,0.03,0.05,4.75,0.71,0.86,0.68,21.0,3620.18,30.0,49.0,1.0,3.0,244.0,7.0,0.75,0.0,100.0,0.16026086956521737
181.05,6.31,24.0,0.91,0.02,0.01,0.16,0.89,0.93,0.78,10.0,2374.77,90.0,49.0,0.0,3.0,239.0,12.0,0.45,0.0,571.0,0.3217890573102241
325.33,6.52,5.0,0.85,0.0,0.03,4.88,0.85,1.12,0.27,32.0,7911.73,90.0,49.0,0.0,1.0,235.0,10.0,0.9,1.0,893.0,0.03804153240243465
112.77,6.74,24.0,0.78,0.0,0.03,4.35,0.63,0.88,0.06,6.0,1486.39,30.0,32.0,0.0,0.0,439.0,11.0,0.72,0.0,941.0,0.06801672509857282
181.47,3.18,24.0,0.97,0.09,0.01,1.91,0.65,1.01,0.41,2.0,2750.89,60.0,25.0,1.0,2.0,205.0,7.0,0.43,1.0,298.0,0.20866890380313197
214.86,7.43,6.0,0.87,0.07,0.02,4.19,0.75,1.1,0.14,39.0,3023.1,60.0,59.0,3.0,2.0,476.0,9.0,0.97,1.0,101.0,0.1558959537572254
255.23,1.82,2.0,0.77,0.07,0.03,3.68,0.9,0.9,0.28,49.0,3811.81,15.0,55.0,2.0,1.0,450.0,9.0,0.3,0.0,881.0,0.07815637824150878
403.33,2.79,8.0,0.78,0.06,0.01,3.97,0.93,1.17,0.95,27.0,4274.48,45.0,7.0,1.0,0.0,799.0,4.0,0.26,0.0,756.0,0.14752515090543258
139.85,8.9,15.0,0.94,0.08,0.04,1.1,0.61,1.15,0.85,14.0,5634.35,60.0,19.0,0.0,1.0,166.0,9.0,0.89,0.0,396.0,0.1726272246272246
281.41,7.65,15.0,0.71,0.05,0.05,3.24,0.73,0.9,0.59,23.0,9488.9,45.0,31.0,3.0,2.0,491.0,11.0,0.71,1.0,424.0,0.15908018867924525
316.59,1.12,11.0,1.0,0.09,0.01,0.13,0.77,1.2,0.4,39.0,2548.07,90.0,26.0,3.0,1.0,363.0,7.0,0.35,0.0,837.0,0.3492561931043233
70.9,3.24,22.0,0.74,0.04,0.01,4.24,0.96,1.07,0.26,21.0,7814.28,60.0,47.0,1.0,1.0,822.0,6.0,0.23,0.0,550.0,0.13557251908396944
323.4,2.93,22.0,0.94,0.09,0.02,4.76,0.8,0.91,0.57,41.0,6796.26,60.0,29.0,0.0,2.0,694.0,11.0,0.18,1.0,181.0,0.14850694444444443
126.74,3.44,24.0,0.82,0.07,0.04,3.31,0.71,1.07,0.53,30.0,1248.9,60.0,30.0,2.0,2.0,844.0,9.0,0.31,1.0,694.0,0.17693735498839902
79.27,3.23,1.0,0.85,0.03,0.01,2.56,0.76,1.07,0.78,25.0,8122.73,15.0,49.0,2.0,2.0,542.0,4.0,0.13,0.0,381.0,0.23160112359550564
477.0,1.56,18.0,0.96,0.06,0.0,3.63,0.77,1.04,0.93,24.0,997.06,90.0,47.0,0.0,1.0,517.0,1.0,0.15,0.0,507.0,0.19490280777537794
484.53,5.13,12.0,0.82,0.05,0.03,1.63,0.87,1.08,0.33,11.0,7415.37,30.0,55.0,0.0,1.0,414.0,6.0,0.78,1.0,245.0,0.2961977186311787
413.78,7.59,12.0,0.86,0.01,0.05,3.13,0.62,0.91,0.21,35.0,7186.29,15.0,45.0,3.0,1.0,709.0,1.0,0.06,0.0,51.0,0.20615012106537528
187.08,6.46,25.0,0.71,0.06,0.02,3.59,0.76,1.19,0.4,4.0,6925.08,15.0,46.0,1.0,0.0,986.0,10.0,0.44,1.0,158.0,0.14540305010893245
93.95,7.06,11.0,0.7,0.03,0.02,0.71,0.86,1.14,0.44,37.0,2839.25,60.0,36.0,1.0,3.0,806.0,9.0,0.4,0.0,809.0,0.39560355358937094
357.9,1.73,28.0,0.77,0.01,0.05,0.7,0.71,1.1,0.04,36.0,5776.33,15.0,40.0,1.0,0.0,298.0,5.0,0.96,1.0,933.0,0.14322262152449403
248.07,9.56,8.0,0.9,0.09,0.03,3.58,0.84,0.81,0.86,13.0,7639.62,30.0,52.0,2.0,3.0,688.0,2.0,0.47,0.0,734.0,0.16761419749413992
104.92,8.55,28.0,0.74,0.06,0.04,2.16,0.74,1.04,1.0,9.0,6412.16,15.0,16.0,2.0,2.0,711.0,12.0,0.16,1.0,696.0,0.22012658227848098
272.83,8.25,7.0,0.73,0.09,0.03,4.45,0.9,1.08,0.92,28.0,8062.63,15.0,47.0,2.0,3.0,99.0,8.0,0.09,0.0,620.0,0.01946306599585676
65.47,8.41,23.0,0.82,0.07,0.05,1.56,0.62,1.14,0.86,46.0,6910.04,60.0,7.0,1.0,0.0,391.0,10.0,0.73,1.0,487.0,0.23916885908624227
459.19,9.39,21.0,0.89,0.04,0.03,0.21,0.97,1.18,0.99,16.0,2817.05,90.0,18.0,0.0,2.0,976.0,11.0,0.15,1.0,129.0,0.7061157024793389
166.45,5.9,2.0,0.91,0.05,0.04,3.25,0.67,1.17,0.91,6.0,1615.26,30.0,52.0,0.0,3.0,310.0,6.0,0.94,0.0,824.0,0.07652627070245574
348.14,2.8,11.0,0.75,0.07,0.03,3.42,0.66,0.96,0.69,27.0,6356.59,60.0,57.0,1.0,3.0,451.0,3.0,0.56,1.0,538.0,0.13228670793453212
190.27,6.55,22.0,0.72,0.1,0.04,2.77,0.94,1.16,0.17,10.0,7621.61,15.0,35.0,1.0,3.0,511.0,11.0,0.4,0.0,550.0,0.15969520135037377
284.03,7.69,10.0,0.98,0.03,0.01,3.42,0.95,0.8,0.16,23.0,1509.0,30.0,17.0,0.0,1.0,594.0,2.0,0.68,1.0,57.0,0.21506787330316743
296.02,7.64,3.0,0.78,0.09,0.02,2.62,0.64,0.94,0.05,21.0,1830.72,45.0,47.0,0.0,2.0,603.0,10.0,0.2,1.0,395.0,0.19607734806629837
133.18,5.69,20.0,0.96,0.09,0.04,3.46,0.96,0.85,0.41,26.0,219.49,15.0,23.0,2.0,1.0,394.0,11.0,0.38,0.0,810.0,0.0952771964789902
486.31,1.62,29.0,0.96,0.07,0.01,0.22,0.71,1.15,0.81,45.0,5364.32,90.0,26.0,3.0,2.0,532.0,4.0,0.03,1.0,137.0,0.7318032786885246
398.81,4.34,10.0,0.93,0.09,0.03,1.84,0.85,1.17,0.49,3.0,5468.68,15.0,44.0,3.0,3.0,511.0,1.0,0.88,0.0,511.0,0.29799295774647894
472.77,9.29,28.0,0.75,0.04,0.01,1.05,0.63,0.9,0.37,43.0,5050.75,90.0,12.0,1.0,3.0,991.0,1.0,0.43,0.0,456.0,0.351219512195122
452.67,6.26,27.0,0.95,0.1,0.04,0.5,0.75,0.95,0.11,35.0,3228.5,45.0,26.0,3.0,0.0,258.0,5.0,0.76,0.0,589.0,0.2496774193548387
319.05,5.84,18.0,0.93,0.07,0.01,1.17,0.78,1.19,0.05,7.0,4335.33,60.0,16.0,3.0,3.0,681.0,10.0,0.92,0.0,48.0,0.3985714285714286
464.84,3.42,14.0,0.88,0.0,0.04,0.96,0.84,1.03,0.4,27.0,7685.74,60.0,16.0,3.0,1.0,628.0,9.0,0.65,1.0,482.0,0.4489795918367347
89.82,4.32,18.0,0.8,0.09,0.03,4.87,0.81,1.0,0.1,42.0,1899.79,60.0,37.0,2.0,1.0,979.0,12.0,0.38,0.0,142.0,0.12402044293015334
138.19,9.06,28.0,0.78,0.05,0.01,1.43,0.78,1.0,0.1,33.0,2095.32,30.0,32.0,2.0,3.0,954.0,5.0,0.62,1.0,128.0,0.3049382716049383
70.35,7.0,24.0,0.74,0.05,0.03,1.15,0.98,1.08,0.4,4.0,6703.08,90.0,23.0,0.0,1.0,100.0,6.0,0.36,1.0,333.0,0.09819121447028424
196.4,8.09,8.0,0.85,0.06,0.01,4.17,0.67,1.18,0.5,26.0,8682.32,15.0,59.0,1.0,3.0,762.0,10.0,0.57,1.0,61.0,0.15454545454545454
224.9,5.09,10.0,0.88,0.01,0.02,2.1,0.66,0.95,0.19,8.0,3469.9,30.0,20.0,3.0,0.0,725.0,9.0,0.43,1.0,957.0,0.21290322580645157
172.11,6.67,22.0,0.81,0.05,0.02,2.11,0.89,0.87,0.68,20.0,9334.17,30.0,11.0,0.0,0.0,935.0,3.0,0.15,0.0,934.0,0.24742765273311895
422.93,3.24,13.0,0.84,0.08,0.0,2.22,0.63,0.87,0.42,17.0,670.99,15.0,9.0,2.0,3.0,837.0,12.0,0.78,0.0,942.0,0.2132484076433121
